Training tfc with weight bit width 4 and activation bit width 2 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.5769, Train Acc: 46.33%, Val Loss: 1.1239, Val Acc: 62.47%
Epoch [2/500], LR: 0.010000, Train Loss: 1.2437, Train Acc: 58.14%, Val Loss: 0.9613, Val Acc: 68.14%
Epoch [3/500], LR: 0.010000, Train Loss: 1.1305, Train Acc: 62.23%, Val Loss: 0.8241, Val Acc: 72.26%
Epoch [4/500], LR: 0.010000, Train Loss: 1.0484, Train Acc: 65.18%, Val Loss: 0.7361, Val Acc: 75.26%
Epoch [5/500], LR: 0.010000, Train Loss: 0.9756, Train Acc: 67.64%, Val Loss: 0.6941, Val Acc: 76.28%
Epoch [6/500], LR: 0.010000, Train Loss: 0.9344, Train Acc: 69.12%, Val Loss: 0.6398, Val Acc: 78.28%
Epoch [7/500], LR: 0.010000, Train Loss: 0.9009, Train Acc: 70.29%, Val Loss: 0.6154, Val Acc: 79.21%
Epoch [8/500], LR: 0.010000, Train Loss: 0.8795, Train Acc: 71.00%, Val Loss: 0.5960, Val Acc: 79.96%
Epoch [9/500], LR: 0.010000, Train Loss: 0.8613, Train Acc: 71.54%, Val Loss: 0.5863, Val Acc: 80.27%
Epoch [10/500], LR: 0.010000, Train Loss: 0.8447, Train Acc: 72.18%, Val Loss: 0.5695, Val Acc: 81.08%
Epoch [11/500], LR: 0.010000, Train Loss: 0.8383, Train Acc: 72.48%, Val Loss: 0.5575, Val Acc: 81.50%
Epoch [12/500], LR: 0.010000, Train Loss: 0.8205, Train Acc: 73.37%, Val Loss: 0.5472, Val Acc: 81.35%
Epoch [13/500], LR: 0.010000, Train Loss: 0.8194, Train Acc: 73.26%, Val Loss: 0.5364, Val Acc: 82.26%
Epoch [14/500], LR: 0.010000, Train Loss: 0.8045, Train Acc: 73.62%, Val Loss: 0.5296, Val Acc: 82.28%
Epoch [15/500], LR: 0.010000, Train Loss: 0.7942, Train Acc: 74.13%, Val Loss: 0.5357, Val Acc: 82.36%
Epoch [16/500], LR: 0.010000, Train Loss: 0.7888, Train Acc: 74.17%, Val Loss: 0.5185, Val Acc: 82.78%
Epoch [17/500], LR: 0.010000, Train Loss: 0.7932, Train Acc: 74.14%, Val Loss: 0.5019, Val Acc: 83.35%
