Training tfc with weight bit width 8 and activation bit width 8 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.5439, Train Acc: 47.28%, Val Loss: 1.0591, Val Acc: 64.78%
Epoch [2/500], LR: 0.010000, Train Loss: 1.1783, Train Acc: 60.28%, Val Loss: 0.8516, Val Acc: 71.88%
Epoch [3/500], LR: 0.010000, Train Loss: 1.0405, Train Acc: 64.98%, Val Loss: 0.7036, Val Acc: 76.18%
Epoch [4/500], LR: 0.010000, Train Loss: 0.9523, Train Acc: 68.03%, Val Loss: 0.6291, Val Acc: 78.42%
Epoch [5/500], LR: 0.010000, Train Loss: 0.8922, Train Acc: 70.28%, Val Loss: 0.5891, Val Acc: 79.53%
Epoch [6/500], LR: 0.010000, Train Loss: 0.8566, Train Acc: 71.46%, Val Loss: 0.5464, Val Acc: 80.92%
Epoch [7/500], LR: 0.010000, Train Loss: 0.8200, Train Acc: 72.56%, Val Loss: 0.5222, Val Acc: 82.76%
Epoch [8/500], LR: 0.010000, Train Loss: 0.8015, Train Acc: 73.30%, Val Loss: 0.5059, Val Acc: 83.32%
Epoch [9/500], LR: 0.010000, Train Loss: 0.7880, Train Acc: 74.04%, Val Loss: 0.5040, Val Acc: 82.74%
Epoch [10/500], LR: 0.010000, Train Loss: 0.7751, Train Acc: 74.53%, Val Loss: 0.4809, Val Acc: 83.88%
Epoch [11/500], LR: 0.010000, Train Loss: 0.7594, Train Acc: 74.99%, Val Loss: 0.4767, Val Acc: 84.27%
Epoch [12/500], LR: 0.010000, Train Loss: 0.7454, Train Acc: 75.24%, Val Loss: 0.4632, Val Acc: 84.13%
Epoch [13/500], LR: 0.010000, Train Loss: 0.7407, Train Acc: 75.69%, Val Loss: 0.4557, Val Acc: 84.12%
Epoch [14/500], LR: 0.010000, Train Loss: 0.7383, Train Acc: 75.83%, Val Loss: 0.4576, Val Acc: 84.47%
Epoch [15/500], LR: 0.010000, Train Loss: 0.7258, Train Acc: 75.95%, Val Loss: 0.4477, Val Acc: 84.63%
Epoch [16/500], LR: 0.010000, Train Loss: 0.7175, Train Acc: 76.31%, Val Loss: 0.4482, Val Acc: 84.91%
Epoch [17/500], LR: 0.010000, Train Loss: 0.7193, Train Acc: 76.30%, Val Loss: 0.4388, Val Acc: 85.08%
Epoch [18/500], LR: 0.010000, Train Loss: 0.7145, Train Acc: 76.45%, Val Loss: 0.4457, Val Acc: 85.11%
Epoch [19/500], LR: 0.010000, Train Loss: 0.7119, Train Acc: 76.50%, Val Loss: 0.4256, Val Acc: 85.97%
Epoch [20/500], LR: 0.010000, Train Loss: 0.7056, Train Acc: 76.86%, Val Loss: 0.4232, Val Acc: 86.02%
Epoch [21/500], LR: 0.010000, Train Loss: 0.7002, Train Acc: 77.06%, Val Loss: 0.4298, Val Acc: 85.95%
Epoch [22/500], LR: 0.010000, Train Loss: 0.7010, Train Acc: 76.99%, Val Loss: 0.4343, Val Acc: 85.40%
Epoch [23/500], LR: 0.010000, Train Loss: 0.6978, Train Acc: 77.09%, Val Loss: 0.4084, Val Acc: 86.09%
Epoch [24/500], LR: 0.010000, Train Loss: 0.6865, Train Acc: 77.35%, Val Loss: 0.4212, Val Acc: 85.91%
Epoch [25/500], LR: 0.010000, Train Loss: 0.7018, Train Acc: 76.87%, Val Loss: 0.4173, Val Acc: 86.07%
Epoch [26/500], LR: 0.010000, Train Loss: 0.6859, Train Acc: 77.56%, Val Loss: 0.4087, Val Acc: 85.92%
Epoch [27/500], LR: 0.010000, Train Loss: 0.6899, Train Acc: 77.42%, Val Loss: 0.4202, Val Acc: 86.11%
Epoch [28/500], LR: 0.010000, Train Loss: 0.6871, Train Acc: 77.44%, Val Loss: 0.4154, Val Acc: 86.12%
Epoch [29/500], LR: 0.010000, Train Loss: 0.6754, Train Acc: 77.94%, Val Loss: 0.4056, Val Acc: 86.67%
Epoch [30/500], LR: 0.010000, Train Loss: 0.6844, Train Acc: 77.56%, Val Loss: 0.4006, Val Acc: 86.17%
Epoch [31/500], LR: 0.010000, Train Loss: 0.6769, Train Acc: 77.80%, Val Loss: 0.4080, Val Acc: 86.62%
Epoch [32/500], LR: 0.010000, Train Loss: 0.6753, Train Acc: 77.99%, Val Loss: 0.4044, Val Acc: 86.29%
Epoch [33/500], LR: 0.010000, Train Loss: 0.6757, Train Acc: 77.98%, Val Loss: 0.3976, Val Acc: 86.76%
Epoch [34/500], LR: 0.010000, Train Loss: 0.6736, Train Acc: 77.88%, Val Loss: 0.4066, Val Acc: 86.80%
Epoch [35/500], LR: 0.010000, Train Loss: 0.6708, Train Acc: 78.08%, Val Loss: 0.4054, Val Acc: 86.40%
Epoch [36/500], LR: 0.010000, Train Loss: 0.6755, Train Acc: 78.11%, Val Loss: 0.3992, Val Acc: 86.87%
Epoch [37/500], LR: 0.010000, Train Loss: 0.6716, Train Acc: 78.11%, Val Loss: 0.3993, Val Acc: 87.03%
Epoch [38/500], LR: 0.010000, Train Loss: 0.6749, Train Acc: 78.15%, Val Loss: 0.3893, Val Acc: 87.34%
Epoch [39/500], LR: 0.010000, Train Loss: 0.6694, Train Acc: 78.29%, Val Loss: 0.3896, Val Acc: 87.22%
Epoch [40/500], LR: 0.010000, Train Loss: 0.6698, Train Acc: 78.08%, Val Loss: 0.3940, Val Acc: 87.07%
Epoch [41/500], LR: 0.010000, Train Loss: 0.6658, Train Acc: 78.31%, Val Loss: 0.3964, Val Acc: 86.83%
